type,name,t1,sample_t1,t2,sample_t2,rate,bits,hr,sample_hr,hr_err,r_avg,r_p0,r_p5,r_p10,r_p25,r_p50,r_p75,r_p90,r_p95,r_p99,r_p999,r_p9999,r_p99999,r_p999999,r_p100,w_avg,w_p0,w_p5,w_p10,w_p25,w_p50,w_p75,w_p90,w_p95,w_p99,w_p999,w_p9999,w_p99999,w_p999999,w_p100
test,w66,286,228,429,343,80,12,51.61311,53.6018,-3.8530714386325458,-755.7607729169666,-7.117393063672638,-65.16471862252288,-113.75013029730951,-382.53278441114855,-311.5027224844765,-1463.5268212074188,-816.7520648136043,-652.0319283155563,-680.7223927299123,-680.7223927299123,-680.7223927299123,-680.7223927299123,-680.7223927299123,-680.7223927299123,33.70289925782246,34.145605630791266,6.067482798092094,10.950229575315035,25.111861288011383,92.76536034438107,62.25256226597332,5.1021124623148975,8.025662548303028,6.821740363189881,-0.016695525251528977,6.082195641108958,6.082195641108958,6.082195641108958,6.082195641108958
test,w66,286,228,429,343,80,8,51.61311,52.923,-2.5379017075312897,-76.37099903477484,9.315791899934949,-47.68603189562246,-21.91712111101509,-36.776383778743515,59.144095491918335,18.77149183232602,-155.89356778696558,-191.81872203554943,-182.41702172412232,-182.41702172412232,-182.41702172412232,-182.41702172412232,-182.41702172412232,-182.41702172412232,43.14138475238789,50.40677077459993,22.349650502363044,22.619923049392956,33.02577300041711,94.23257468364507,87.04080148151837,6.2578535293324125,0.34558035414139315,3.6983519070239272,0.30091928492063363,-0.08833893323204832,-0.08833893323204832,-0.08833893323204832,-0.08833893323204832
test,w66,286,114,429,171,40,4,51.61311,45.77546,11.310401562703733,-82.11299433125822,13.574805488826172,7.363942554559119,12.43548612701159,27.633721236847805,74.67017049043179,24.2847994807228,7.922723178891927,-101.33435438158658,-410.32209825742433,-410.32209825742433,-410.32209825742433,-410.32209825742433,-410.32209825742433,-410.32209825742433,26.361435390247102,34.1227590994366,29.320313082913106,29.569833106616453,42.01109831619324,95.29385369739728,92.45238420226676,3.736023297970155,-18.481866729322565,-2.3141007908559375,-191.4043175815497,-173.6348521037714,-173.6348521037714,-173.6348521037714,-173.6348521037714
test,w66,286,228,429,343,80,4,51.61311,53.35462,-3.374162107263054,29.307294966904443,73.79848693612247,15.064570794133115,36.76067970204012,10.808728895052855,70.09892888426998,41.331978898998315,59.2053397262987,1.8760286581753147,-36.39621674411116,-36.39621674411116,-36.39621674411116,-36.39621674411116,-36.39621674411116,-36.39621674411116,39.01196659162079,41.15290041109111,21.350201909725698,21.170657901846862,27.42223095913321,93.0989518628705,85.4707178258783,6.092141681718146,3.8621249327016764,-0.5903944252477388,-55.885793355314966,-46.38007550428086,-46.38007550428086,-46.38007550428086,-46.38007550428086
test,w66,429,343,429,343,80,12,70.39575,72.90236,-3.560740527659688,-317.83792306299443,-0.5662662528604452,-25.71372839017346,-69.9095720832193,-95.01348928864601,-109.69019454794066,-517.365249214119,-296.2452992374477,-265.8841401242751,-360.7670741099556,-360.7670741099556,-360.7670741099556,-360.7670741099556,-360.7670741099556,-360.7670741099556,29.84088916910873,-32.41845207585853,6.50266488616865,9.684923571953243,19.50468596453375,86.01525737214037,54.96779159224631,5.7718657948197185,10.806392235924095,2.94559834841635,10.11421233169471,10.216697555005187,10.216697555005187,10.216697555005187,10.216697555005187
test,w66,429,171,429,171,40,8,70.39575,63.81888,9.34270889932987,-838.4896915045631,6.794321615940468,-47.01101671722789,-109.26027285590344,-152.8538723581381,-346.68049943985693,-1200.1356990438157,-863.6649930091257,-757.1662208552033,-757.1662208552033,-757.1662208552033,-757.1662208552033,-757.1662208552033,-757.1662208552033,-757.1662208552033,27.05585225877574,11.556535110199897,7.286576926440846,9.73461772000143,16.390237895113092,41.77000357615389,42.009963091352624,20.160539892143557,20.42727152950079,-4.8210242978404905,-0.7396932769540012,0.32859600120205057,0.32859600120205057,0.32859600120205057,0.32859600120205057
test,w66,429,343,429,343,80,8,70.39575,70.9701,-0.8158873227431989,69.77243369221134,-9.232614607049069,-9.232614607049069,-11.659844298615923,6.734663719422796,58.89925566951839,59.46247237455205,76.41527106704618,81.57776966668533,81.57776966668533,81.57776966668533,81.57776966668533,81.57776966668533,81.57776966668533,81.57776966668533,36.69155908512171,2.0713480266529984,21.27337467190477,21.875053382385598,30.442274353574184,89.57845531287595,89.15810784733073,4.977032932027276,7.736473040485304,1.3056543214971008,1.1799431347694813,0.24045935323951503,0.24045935323951503,0.24045935323951503,0.24045935323951503
test,w66,429,171,429,171,40,12,70.39575,63.09076,10.37703270438912,-113.5607817700884,59.962501237342714,55.41766867164709,52.54732471948713,68.73471478297603,80.8764624788367,53.21650049101676,-14.872178724690293,-143.67644109729378,-577.0060397146349,-721.5681046034525,-721.5681046034525,-721.5681046034525,-721.5681046034525,-721.5681046034525,45.158828679722454,15.059559200410046,0.37779979856688545,4.085324852198733,16.694058404223952,83.13965816507027,69.8583837015054,49.59350703157902,48.26281165752213,3.63741214272022,-22.441048986367868,-59.1518426212232,-59.1518426212232,-59.1518426212232,-59.1518426212232
test,w66,429,343,429,343,80,4,70.39575,69.37917,1.4440928607195813,26.529138112408777,68.85229912832845,53.17866064202074,6.1577451830976075,39.06423717627835,55.2500428179549,42.9065776061734,47.67361486572559,16.40028948910913,0.3439351097958332,0.3439351097958332,0.3439351097958332,0.3439351097958332,0.3439351097958332,0.3439351097958332,-7.35924074838538,-32.01804202972834,5.559427727980538,2.892277063510674,-5.130907141258765,-46.47301879496012,-9.9740173211771,-5.957975676299205,-0.8347003158402669,-2.264982288211619,-47.28812285564877,-45.845812427126305,-45.845812427126305,-45.845812427126305,-45.845812427126305
test,w66,429,171,429,171,40,4,70.39575,64.33453,8.610207292343649,-602.2126918814137,3.0745782844898364,-4.861446730212706,-62.79747174491525,-42.92982552512288,-109.98803904997487,-226.33032908620348,-698.8506558103295,-643.6414636993034,-650.3647718178115,-650.3647718178115,-650.3647718178115,-650.3647718178115,-650.3647718178115,-650.3647718178115,7.572253019711203,-23.873500768836493,13.249051217570306,10.467994639243779,7.312667798380125,22.439992828477877,31.97228935469334,4.396958847695473,-2.1962636243546187,-2.291117496974558,-147.43965951945864,-173.20597960531776,-173.20597960531776,-173.20597960531776,-173.20597960531776
test,w66,429,343,286,228,80,12,55.25522,60.88742,-10.193064112313728,-158.64677899649837,-7.420331651045422,-4.839284709061228,-65.25347324534592,-55.50266880272119,-59.763724972552176,-309.6836885031207,-135.4946503455447,-182.45068952492784,-245.19868328200366,-245.19868328200366,-245.19868328200366,-245.19868328200366,-245.19868328200366,-245.19868328200366,2.764856486119395,20.059746191556524,14.214468745390075,13.245192262025757,15.547374751690327,26.65585872223153,82.15195758416411,-4.285741058665067,-11.684955638396042,1.4630509120728634,5.279486046218818,9.80548244297862,9.80548244297862,9.80548244297862,9.80548244297862
test,w66,429,343,286,228,80,8,55.25522,54.98235,0.4938356955234358,-32.38110764205425,-32.52871905791877,-86.46351303173024,-108.56330710716081,-127.10136894774006,-99.65545972693947,2.4561403337244485,-15.40020457415155,-118.55037187477967,-113.20951117557108,-113.20951117557108,-113.20951117557108,-113.20951117557108,-113.20951117557108,-113.20951117557108,-57.17061446642416,22.62491957966974,-16.94048484120003,-16.91537279322785,-30.09478174683839,-495.7962945022102,-382.46255546935856,-12.35056752090832,-9.431651219748417,1.7591895741229129,0.29309743676044303,-0.11900330196416474,-0.11900330196416474,-0.11900330196416474,-0.11900330196416474
test,w66,429,343,286,228,80,4,55.25522,55.2668,-0.020957295980365553,52.832423704276614,65.62108467515822,47.16832729751875,4.801925695931791,26.49016377261649,62.37947566763803,20.990731440760914,72.60223761104044,37.540006826407875,24.433066780571195,24.433066780571195,24.433066780571195,24.433066780571195,24.433066780571195,24.433066780571195,-19.311118699343073,14.482055449582568,7.781608379000049,5.574468408464431,1.4081979692229187,7.773528796630051,53.55002593363389,-5.316633077937796,-20.97504751499994,-1.4425905041317537,-54.7969620480189,-46.43968176145114,-46.43968176145114,-46.43968176145114,-46.43968176145114
